stage,opponent_stage,wins,draws,losses,elo_stage,elo_opponent_stage
15,6,602,0,398,1527.5737964360064,1461.651381006328
15,7,603,0,397,1527.5737964360064,1468.5886539566013
15,8,519,0,481,1527.5737964360064,1498.4858969415393
15,9,567,0,433,1527.5737964360064,1499.9808783054968
15,10,570,0,430,1527.5737964360064,1492.6389588054008
15,11,489,0,511,1527.5737964360064,1521.4156579049172
15,12,525,0,475,1527.5737964360064,1512.8165254919786
15,13,540,0,460,1527.5737964360064,1511.8130218328256
15,14,544,0,456,1527.5737964360064,1501.3521330334083
15,15,494,0,506,1527.5737964360064,1518.6834720165175
15,16,494,0,506,1527.5737964360064,1527.5737964360064
16,1,943,0,57,1518.0299622051966,1000.0
16,2,737,0,263,1518.0299622051966,1360.4224492755798
16,3,672,0,328,1518.0299622051966,1415.160462474079
16,4,656,0,344,1518.0299622051966,1404.0742772641224
16,5,674,0,326,1518.0299622051966,1422.5321706797265
16,6,565,0,435,1518.0299622051966,1460.8989020328459
16,7,583,0,417,1518.0299622051966,1466.7515305165361
16,8,540,0,460,1518.0299622051966,1496.6561728109684
16,9,501,0,499,1518.0299622051966,1499.5951426745564
16,10,560,0,440,1518.0299622051966,1490.3572910937664
16,11,519,0,481,1518.0299622051966,1519.099762056461
16,12,512,0,488,1518.0299622051966,1511.2720373178292
16,13,529,0,471,1518.0299622051966,1509.6558612819285
16,14,519,0,481,1518.0299622051966,1500.1833481948797
16,15,501,0,499,1518.0299622051966,1517.238026471899
16,16,482,0,518,1518.0299622051966,1526.3729059274206
16,17,494,0,506,1518.0299622051966,1518.0299622051966
17,1,945,0,55,1518.0619259425139,1000.0
17,2,740,0,260,1518.0619259425139,1358.3179100508307
17,3,668,0,332,1518.0619259425139,1413.2491222260562
17,4,664,0,336,1518.0619259425139,1402.8654150768916
17,5,640,0,360,1518.0619259425139,1421.3122067200784
17,6,604,0,396,1518.0619259425139,1459.0612200782216
17,7,571,0,429,1518.0619259425139,1465.8294908172516
17,8,533,0,467,1518.0619259425139,1495.5593464024396
17,9,520,0,480,1518.0619259425139,1498.8235709666785
17,10,551,0,449,1518.0619259425139,1488.929694107165
17,11,529,0,471,1518.0619259425139,1516.9376913427027
17,12,538,0,462,1518.0619259425139,1509.2016154858734
17,13,544,0,456,1518.0619259425139,1507.449791536837
17,14,540,0,460,1518.0619259425139,1498.6380019022108
17,15,496,0,504,1518.0619259425139,1516.4133305757478
17,16,470,0,530,1518.0619259425139,1526.0318697425228
17,17,468,0,532,1518.0619259425139,1518.2118870770832
17,18,495,0,505,1518.0619259425139,1518.0619259425139
18,1,938,0,62,1510.2348696763952,1000.0
18,2,731,0,269,1510.2348696763952,1355.6656394679937
18,3,651,0,349,1510.2348696763952,1411.023923660437
18,4,677,0,323,1510.2348696763952,1400.1886114594781
18,5,619,0,381,1510.2348696763952,1419.849191924551
18,6,588,0,412,1510.2348696763952,1456.8405192111327
18,7,564,0,436,1510.2348696763952,1464.1149795819413
18,8,513,0,487,1510.2348696763952,1494.1379579858435
18,9,532,0,468,1510.2348696763952,1496.5671330621233
18,10,553,0,447,1510.2348696763952,1486.4386087908085
18,11,478,0,522,1510.2348696763952,1515.6644310273118
18,12,524,0,476,1510.2348696763952,1506.6949545041925
18,13,531,0,469,1510.2348696763952,1504.7859998013928
18,14,504,0,496,1510.2348696763952,1497.3772888854448
18,15,489,0,511,1510.2348696763952,1514.7760463602492
18,16,480,0,520,1510.2348696763952,1524.2198032242575
18,17,492,0,508,1510.2348696763952,1516.375495214807
18,18,496,0,504,1510.2348696763952,1516.0910310925433
18,19,483,0,517,1510.2348696763952,1510.2348696763952
19,1,964,0,36,1554.3113174120576,1000.0
19,2,775,0,225,1554.3113174120576,1355.614833611246
19,3,729,0,271,1554.3113174120576,1410.4375583239
19,4,735,0,265,1554.3113174120576,1399.8340490835258
19,5,713,0,287,1554.3113174120576,1419.450445401716
19,6,644,0,356,1554.3113174120576,1457.1855884609406
19,7,650,0,350,1554.3113174120576,1463.9335820284948
19,8,622,0,378,1554.3113174120576,1493.5165862422182
19,9,596,0,404,1554.3113174120576,1496.703843324843
19,10,584,0,416,1554.3113174120576,1487.44978448825
19,11,539,0,461,1554.3113174120576,1516.8160220887326
19,12,557,0,443,1554.3113174120576,1507.6650041566988
19,13,590,0,410,1554.3113174120576,1504.73549600644
19,14,577,0,423,1554.3113174120576,1498.113786599085
19,15,542,0,458,1554.3113174120576,1515.8684961844765
19,16,560,0,440,1554.3113174120576,1524.245907570059
19,17,559,0,441,1554.3113174120576,1516.8160220887323
19,18,554,0,446,1554.3113174120576,1516.7144769991767
19,19,576,0,424,1554.3113174120576,1510.3958323871316
19,20,513,0,487,1554.3113174120576,1554.3113174120576
20,1,958,0,42,1534.512914825928,1000.0
20,2,762,0,238,1534.512914825928,1355.033763434239
20,3,668,0,332,1534.512914825928,1410.8713225791666
20,4,692,0,308,1534.512914825928,1399.910153795666
20,5,694,0,306,1534.512914825928,1418.6463833222413
20,6,630,0,370,1534.512914825928,1456.8488056843523
20,7,607,0,393,1534.512914825928,1464.0378226493817
20,8,570,0,430,1534.512914825928,1493.4769159045222
20,9,540,0,460,1534.512914825928,1497.4797235148399
20,10,577,0,423,1534.512914825928,1487.4615928440653
20,11,522,0,478,1534.512914825928,1517.2471155653807
20,12,535,0,465,1534.512914825928,1508.099900458117
20,13,576,0,424,1534.512914825928,1503.9887112463039
20,14,552,0,448,1534.512914825928,1498.440918103377
20,15,525,0,475,1534.512914825928,1516.246681712317
20,16,533,0,467,1534.512914825928,1523.9743546669422
20,17,508,0,492,1534.512914825928,1517.6990991746409
20,18,546,0,454,1534.512914825928,1516.375740382518
20,19,529,0,471,1534.512914825928,1510.897983677809
20,20,460,0,540,1534.512914825928,1555.0120263379358
20,21,485,0,515,1534.512914825928,1534.512914825928
21,2,789,0,211,1540.6345772436825,1353.0042529071045
21,3,711,0,289,1540.6345772436825,1409.348779078237
21,4,703,0,297,1540.6345772436825,1399.0740797874269
21,5,681,0,319,1540.6345772436825,1417.769020906277
21,6,601,0,399,1540.6345772436825,1456.8858999379815
21,7,614,0,386,1540.6345772436825,1463.371445469551
21,8,565,0,435,1540.6345772436825,1493.046702764702
21,9,567,0,433,1540.6345772436825,1496.813452665438
21,10,580,0,420,1540.6345772436825,1486.833681363256
21,11,518,0,482,1540.6345772436825,1517.2146965563459
21,12,565,0,435,1540.6345772436825,1507.02694760603
21,13,537,0,463,1540.6345772436825,1503.956809179917
21,14,540,0,460,1540.6345772436825,1498.559872493845
21,15,520,0,480,1540.6345772436825,1516.196939306536
21,16,536,0,464,1540.6345772436825,1523.0850817305545
21,17,561,0,439,1540.6345772436825,1516.3202768453573
21,18,532,0,468,1540.6345772436825,1515.9502862516067
21,19,551,0,449,1540.6345772436825,1510.1310771547999
21,20,462,0,538,1540.6345772436825,1555.0309467613731
21,21,510,0,490,1540.6345772436825,1533.9546091184084
21,22,529,0,471,1540.6345772436825,1540.6345772436825
22,3,676,0,324,1543.1589499407166,1408.9960788639025
22,4,711,0,289,1543.1589499407166,1398.0359276132813
22,5,690,0,310,1543.1589499407166,1416.6619238916805
22,6,614,0,386,1543.1589499407166,1456.4965103110599
22,7,626,0,374,1543.1589499407166,1462.363814110349
22,8,586,0,414,1543.1589499407166,1491.9822348233615
22,9,572,0,428,1543.1589499407166,1496.0004529735681
22,10,606,0,394,1543.1589499407166,1485.4439745091129
22,11,511,0,489,1543.1589499407166,1517.3267825029843
22,12,563,0,437,1543.1589499407166,1506.043511051471
22,13,534,0,466,1543.1589499407166,1503.9566105209024
22,14,543,0,457,1543.1589499407166,1498.5239467492256
22,15,570,0,430,1543.1589499407166,1514.6118326140024
22,16,526,0,474,1543.1589499407166,1522.500877229
22,17,538,0,462,1543.1589499407166,1515.6738133998847
22,18,537,0,463,1543.1589499407166,1515.3492671828503
22,19,541,0,459,1543.1589499407166,1509.6619726336253
22,20,467,0,533,1543.1589499407166,1554.8136525758612
22,21,521,0,479,1543.1589499407166,1533.0443175396451
22,22,502,0,498,1543.1589499407166,1539.8974314329937
22,23,510,0,490,1543.1589499407166,1543.1589499407166
23,3,697,0,303,1543.8839730045484,1408.0108899720667
23,5,687,0,313,1543.8839730045484,1415.6854994113312
23,6,632,0,368,1543.8839730045484,1455.5776256712043
23,7,600,0,400,1543.8839730045484,1462.1200488748686
23,8,567,0,433,1543.8839730045484,1491.4797656285516
23,9,569,0,431,1543.8839730045484,1495.278079311648
23,10,569,0,431,1543.8839730045484,1485.1501896022564
23,11,555,0,445,1543.8839730045484,1516.1182955628628
23,12,567,0,433,1543.8839730045484,1504.9652535000978
23,13,534,0,466,1543.8839730045484,1503.8942659079348
23,14,547,0,453,1543.8839730045484,1498.3177328721083
23,15,529,0,471,1543.8839730045484,1514.2516952986298
23,16,549,0,451,1543.8839730045484,1521.2451055799693
23,17,554,0,446,1543.8839730045484,1514.5626982241297
23,18,539,0,461,1543.8839730045484,1514.6757996486153
23,19,535,0,465,1543.8839730045484,1509.3369089089615
23,20,460,0,540,1543.8839730045484,1554.7399697205626
23,21,523,0,477,1543.8839730045484,1532.082313190841
23,22,517,0,483,1543.8839730045484,1538.7291991349884
23,23,501,0,499,1543.8839730045484,1542.215685261734
23,24,469,0,531,1543.8839730045484,1543.8839730045484
24,5,722,0,278,1554.4479387012207,1414.175022869777
24,6,643,0,357,1554.4479387012207,1454.8231999225377
24,7,637,0,363,1554.4479387012207,1461.285236691142
24,8,592,0,408,1554.4479387012207,1490.7459277286282
24,9,576,0,424,1554.4479387012207,1494.829365974021
24,10,586,0,414,1554.4479387012207,1484.8231945705074
24,11,534,0,466,1554.4479387012207,1515.9883824514518
24,12,581,0,419,1554.4479387012207,1504.0019338680277
24,13,557,0,443,1554.4479387012207,1503.62287634189
24,14,592,0,408,1554.4479387012207,1497.3176985199973
24,15,545,0,455,1554.4479387012207,1513.897040879829
24,16,548,0,452,1554.4479387012207,1520.5300808464285
24,17,541,0,459,1554.4479387012207,1514.3043208029328
24,18,517,0,483,1554.4479387012207,1515.0647354281775
24,19,570,0,430,1554.4479387012207,1508.49887675651
24,20,485,0,515,1554.4479387012207,1554.3952944221305
24,21,560,0,440,1554.4479387012207,1530.6005138139758
24,22,558,0,442,1554.4479387012207,1536.9515183400874
24,23,493,0,507,1554.4479387012207,1542.0377900277608
24,24,507,0,493,1554.4479387012207,1543.1520583538481
24,25,508,0,492,1554.4479387012207,1554.4479387012207
25,6,644,0,356,1550.205490450643,1453.846444666051
25,7,586,0,414,1550.205490450643,1461.5957565759131
25,8,590,0,410,1550.205490450643,1489.855393304625
25,9,604,0,396,1550.205490450643,1493.4205050467376
25,10,587,0,413,1550.205490450643,1484.2330127427683
25,11,552,0,448,1550.205490450643,1515.1248449345983
25,12,528,0,472,1550.205490450643,1504.223388168761
25,13,546,0,454,1550.205490450643,1503.3899234149626
25,14,604,0,396,1550.205490450643,1495.8146072306745
25,15,563,0,437,1550.205490450643,1512.8271109952004
25,16,546,0,454,1550.205490450643,1519.6473899970051
25,17,559,0,441,1550.205490450643,1513.3230702369697
25,18,541,0,459,1550.205490450643,1514.5241352810283
25,19,566,0,434,1550.205490450643,1507.5585366520058
25,20,449,0,551,1550.205490450643,1554.7534476456615
25,21,487,0,513,1550.205490450643,1530.875203325218
25,22,551,0,449,1550.205490450643,1535.225457001278
25,23,516,0,484,1550.205490450643,1540.9623157996539
25,24,512,0,488,1550.205490450643,1542.0592773586832
25,25,474,0,526,1550.205490450643,1553.8962895742661
25,26,503,0,497,1550.205490450643,1550.205490450643
26,7,655,0,345,1553.264731904092,1460.1879327553024
26,8,586,0,414,1553.264731904092,1489.1777259695662
26,9,588,0,412,1553.264731904092,1492.5631820109893
26,10,579,0,421,1553.264731904092,1483.9343968968924
26,11,552,0,448,1553.264731904092,1514.3720244876026
26,12,587,0,413,1553.264731904092,1502.9955647141455
26,13,554,0,446,1553.264731904092,1503.020652101669
26,14,575,0,425,1553.264731904092,1495.1960177652547
26,15,529,0,471,1553.264731904092,1512.7377814815345
26,16,515,0,485,1553.264731904092,1519.6577113248218
26,17,533,0,467,1553.264731904092,1513.1148468588403
26,18,530,0,470,1553.264731904092,1514.3468763882602
26,19,574,0,426,1553.264731904092,1506.5337812705034
26,20,487,0,513,1553.264731904092,1554.1490318974152
26,21,516,0,484,1553.264731904092,1530.4406478289006
26,22,530,0,470,1553.264731904092,1534.2195738001437
26,23,512,0,488,1553.264731904092,1540.1351673688166
